date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:40:16	40551/40551	---M-Z	200	added ('OK')	text/html	etag:%229e67-6241bd2af5eaa-gzip%22	https://buddsoft.com/templates/8/	C:/Users/Asus/OneDrive/Documents/Hues/huespace/huespace/buddsoft.com/templates/8/index.html	(from )
15:40:17	113/113	---MC-	200	added ('OK')	text/plain	date:Mon,%2003%20Mar%202025%2010:09:52%20GMT	https://buddsoft.com/robots.txt		(from )
15:40:26	30451/30451	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2003%20Mar%202025%2010:09:59%20GMT	https://buddsoft.com/templates/8/img/favicon.ico	C:/Users/Asus/OneDrive/Documents/Hues/huespace/huespace/buddsoft.com/templates/8/img/favicon.0.delayed	(from https://buddsoft.com/templates/8/)
15:40:31	56517/56517	---M-Z	200	added ('OK')	text/css	etag:%225eb03e60-dcc5%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/5.10.0/css/all.min.css	C:/Users/Asus/OneDrive/Documents/Hues/huespace/huespace/cdnjs.cloudflare.com/ajax/libs/font-awesome/5.10.0/css/all.min.css	(from https://buddsoft.com/templates/8/)
15:40:33	63666/63666	---MCZ	200	added ('OK')	text/css	etag:W/%22f8b2-v7ZMVELJO4O8jF4rcNGwrm8YAaE%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/bootstrap-icons.css	C:/Users/Asus/OneDrive/Documents/Hues/huespace/huespace/cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/bootstrap-icons.css	(from https://buddsoft.com/templates/8/)
15:40:35	16953/16953	---M--	200	added ('OK')	text/css	etag:%224239-6241bd72041d9%22	https://buddsoft.com/templates/8/lib/animate/animate.min.css	C:/Users/Asus/OneDrive/Documents/Hues/huespace/huespace/buddsoft.com/templates/8/lib/animate/animate.min.css	(from https://buddsoft.com/templates/8/)
15:40:37	2936/2936	---M--	200	added ('OK')	text/css	etag:%22b78-6241bda5412d3%22	https://buddsoft.com/templates/8/lib/owlcarousel/assets/owl.carousel.min.css	C:/Users/Asus/OneDrive/Documents/Hues/huespace/huespace/buddsoft.com/templates/8/lib/owlcarousel/assets/owl.carousel.min.css	(from https://buddsoft.com/templates/8/)
15:40:37	2608/2608	---M--	200	added ('OK')	text/css	etag:%22a30-6241bda4378b5%22	https://buddsoft.com/templates/8/lib/lightbox/css/lightbox.min.css	C:/Users/Asus/OneDrive/Documents/Hues/huespace/huespace/buddsoft.com/templates/8/lib/lightbox/css/lightbox.min.css	(from https://buddsoft.com/templates/8/)
15:40:38	163968/163968	---M--	200	added ('OK')	text/css	etag:%2228080-6241bd480ab3b%22	https://buddsoft.com/templates/8/css/bootstrap.min.css	C:/Users/Asus/OneDrive/Documents/Hues/huespace/huespace/buddsoft.com/templates/8/css/bootstrap.min.css	(from https://buddsoft.com/templates/8/)
15:40:39	10955/10955	---M--	200	added ('OK')	text/css	etag:%222acb-6241bd4809f83%22	https://buddsoft.com/templates/8/css/style.css	C:/Users/Asus/OneDrive/Documents/Hues/huespace/huespace/buddsoft.com/templates/8/css/style.css	(from https://buddsoft.com/templates/8/)
15:40:40	40551/40551	---M-Z	200	added ('OK')	text/html	etag:%229e67-6241bd2af5eaa-gzip%22	https://buddsoft.com/templates/8/index.html	C:/Users/Asus/OneDrive/Documents/Hues/huespace/huespace/buddsoft.com/templates/8/index.html	(from https://buddsoft.com/templates/8/)
15:40:41	18114/18114	---M-Z	200	added ('OK')	text/html	etag:%2246c2-6241bd2abd464-gzip%22	https://buddsoft.com/templates/8/about.html	C:/Users/Asus/OneDrive/Documents/Hues/huespace/huespace/buddsoft.com/templates/8/about.html	(from https://buddsoft.com/templates/8/)
15:40:42	20287/20287	---M-Z	200	added ('OK')	text/html	etag:%224f3f-6241bd2b4b5e4-gzip%22	https://buddsoft.com/templates/8/service.html	C:/Users/Asus/OneDrive/Documents/Hues/huespace/huespace/buddsoft.com/templates/8/service.html	(from https://buddsoft.com/templates/8/)
15:40:42	15085/15085	---M-Z	200	added ('OK')	text/html	etag:%223aed-6241bd2b11bfe-gzip%22	https://buddsoft.com/templates/8/project.html	C:/Users/Asus/OneDrive/Documents/Hues/huespace/huespace/buddsoft.com/templates/8/project.html	(from https://buddsoft.com/templates/8/)
15:40:43	13659/13659	---M-Z	200	added ('OK')	text/html	etag:%22355b-6241bd2af6e4b-gzip%22	https://buddsoft.com/templates/8/feature.html	C:/Users/Asus/OneDrive/Documents/Hues/huespace/huespace/buddsoft.com/templates/8/feature.html	(from https://buddsoft.com/templates/8/)
15:40:44	14972/14972	---M-Z	200	added ('OK')	text/html	etag:%223a7c-6241bd2b4b5e4-gzip%22	https://buddsoft.com/templates/8/team.html	C:/Users/Asus/OneDrive/Documents/Hues/huespace/huespace/buddsoft.com/templates/8/team.html	(from https://buddsoft.com/templates/8/)
15:40:44	13275/13275	---M-Z	200	added ('OK')	text/html	etag:%2233db-6241bd2b66f4f-gzip%22	https://buddsoft.com/templates/8/testimonial.html	C:/Users/Asus/OneDrive/Documents/Hues/huespace/huespace/buddsoft.com/templates/8/testimonial.html	(from https://buddsoft.com/templates/8/)
15:40:45	14698/14698	---M-Z	200	added ('OK')	text/html	etag:%22396a-6241bd2b2e8f1-gzip%22	https://buddsoft.com/templates/8/quote.html	C:/Users/Asus/OneDrive/Documents/Hues/huespace/huespace/buddsoft.com/templates/8/quote.html	(from https://buddsoft.com/templates/8/)
15:40:46	11634/11634	---M-Z	200	added ('OK')	text/html	etag:%222d72-6241bd2abd07c-gzip%22	https://buddsoft.com/templates/8/404.html	C:/Users/Asus/OneDrive/Documents/Hues/huespace/huespace/buddsoft.com/templates/8/404.html	(from https://buddsoft.com/templates/8/)
15:40:48	15345/15345	---M-Z	200	added ('OK')	text/html	etag:%223bf1-6241bd2adb4df-gzip%22	https://buddsoft.com/templates/8/contact.html	C:/Users/Asus/OneDrive/Documents/Hues/huespace/huespace/buddsoft.com/templates/8/contact.html	(from https://buddsoft.com/templates/8/)
15:40:53	63529/63529	---M--	200	added ('OK')	image/jpeg	etag:%22f829-6241bd485c3f5%22	https://buddsoft.com/templates/8/img/carousel-1.jpg	C:/Users/Asus/OneDrive/Documents/Hues/huespace/huespace/buddsoft.com/templates/8/img/carousel-1.jpg	(from https://buddsoft.com/templates/8/)
15:40:54	63558/63558	---M--	200	added ('OK')	image/jpeg	etag:%22f846-6241bd487bfc8%22	https://buddsoft.com/templates/8/img/carousel-2.jpg	C:/Users/Asus/OneDrive/Documents/Hues/huespace/huespace/buddsoft.com/templates/8/img/carousel-2.jpg	(from https://buddsoft.com/templates/8/)
15:40:54	3325/3325	---M--	200	added ('OK')	image/png	etag:%22cfd-6241bd714187b%22	https://buddsoft.com/templates/8/img/icon/icon-1.png	C:/Users/Asus/OneDrive/Documents/Hues/huespace/huespace/buddsoft.com/templates/8/img/icon/icon-1.png	(from https://buddsoft.com/templates/8/)
15:40:54	3028/3028	---M--	200	added ('OK')	image/png	etag:%22bd4-6241bd71604af%22	https://buddsoft.com/templates/8/img/icon/icon-2.png	C:/Users/Asus/OneDrive/Documents/Hues/huespace/huespace/buddsoft.com/templates/8/img/icon/icon-2.png	(from https://buddsoft.com/templates/8/)
15:40:55	2784/2784	---M--	200	added ('OK')	image/png	etag:%22ae0-6241bd7160897%22	https://buddsoft.com/templates/8/img/icon/icon-3.png	C:/Users/Asus/OneDrive/Documents/Hues/huespace/huespace/buddsoft.com/templates/8/img/icon/icon-3.png	(from https://buddsoft.com/templates/8/)
15:40:55	3411/3411	---M--	200	added ('OK')	image/png	etag:%22d53-6241bd717ae7a%22	https://buddsoft.com/templates/8/img/icon/icon-4.png	C:/Users/Asus/OneDrive/Documents/Hues/huespace/huespace/buddsoft.com/templates/8/img/icon/icon-4.png	(from https://buddsoft.com/templates/8/)
15:40:55	2079/2079	---M--	200	added ('OK')	image/png	etag:%2281f-6241bd717be1a%22	https://buddsoft.com/templates/8/img/icon/icon-5.png	C:/Users/Asus/OneDrive/Documents/Hues/huespace/huespace/buddsoft.com/templates/8/img/icon/icon-5.png	(from https://buddsoft.com/templates/8/)
15:40:55	2669/2669	---M--	200	added ('OK')	image/png	etag:%22a6d-6241bd7197785%22	https://buddsoft.com/templates/8/img/icon/icon-6.png	C:/Users/Asus/OneDrive/Documents/Hues/huespace/huespace/buddsoft.com/templates/8/img/icon/icon-6.png	(from https://buddsoft.com/templates/8/)
15:40:55	2938/2938	---M--	200	added ('OK')	image/png	etag:%22b7a-6241bd7197b6d%22	https://buddsoft.com/templates/8/img/icon/icon-7.png	C:/Users/Asus/OneDrive/Documents/Hues/huespace/huespace/buddsoft.com/templates/8/img/icon/icon-7.png	(from https://buddsoft.com/templates/8/)
15:40:56	4036/4036	---M--	200	added ('OK')	image/png	etag:%22fc4-6241bd71b38c0%22	https://buddsoft.com/templates/8/img/icon/icon-8.png	C:/Users/Asus/OneDrive/Documents/Hues/huespace/huespace/buddsoft.com/templates/8/img/icon/icon-8.png	(from https://buddsoft.com/templates/8/)
